question,answer
"When will my order be delivered?","Your order is usually delivered within 3-5 business days. You can check the exact delivery date on the order tracking page."
"How do I check my order status?","To check order status, go to the 'My Orders' section and select the specific order. You will find the latest tracking update there."
"What are the delivery charges?","Delivery charges depend on the city and order value. Exact delivery charges are shown on the checkout page."
"Is cash on delivery available?","Yes, cash on delivery (COD) is available in many locations. If your address does not support COD, the option will be hidden at checkout."
"What is the return policy?","Our standard return policy is 7–14 days after receiving the product. We accept returns if the product is unused and in original packaging."
"When will I get my refund?","After return or cancellation, refunds are usually processed within 3–7 business days. Delays may occur due to banks or payment providers."
"Where will the refund be credited?","If you paid via card/UPI, the refund will be credited there. For cash on delivery orders, refunds are given to your bank account or wallet."
"How do I reset my password?","Click on the 'Forgot Password' button on the login page, then enter your registered email or phone number. You will receive a reset link or OTP."
"My account is locked, what should I do?","Accounts may be locked for security reasons. Try resetting your password and logging in again. If the issue persists, contact the support team."
"How do I change my address?","For future orders, you can add or edit addresses in the 'My Account' > 'Addresses' section. Addresses for already placed orders can only be changed for a limited time."
"How do I cancel my order?","If the order hasn't been dispatched, you can use the Cancel button in 'My Orders'. Cancellation is not allowed after dispatch, but you can return it."
"How do I download the invoice?","Select the relevant order in 'My Orders'. The 'Download Invoice' or 'View Invoice' option is available there."
"How do I find warranty details?","Warranty details are mentioned in the 'Specifications' or 'Warranty' section on the product page. For branded electronics, you can also verify on the brand website."
"Is the product original?","We only list products from genuine and verified sellers. All branded products are 100% original and come with a manufacturer warranty."
"What if I have a size issue?","If the size doesn't fit, you can raise a return or exchange request, if the exchange option is available for the product."
"How do I reschedule delivery?","If the courier partner supports rescheduling, you will get an option via SMS/WhatsApp/link. Otherwise, contact the support team."
"How do I contact customer support?","You can contact us via chat support, email, or phone. Details are available on the 'Contact Us' page."
"Is gift wrapping available?","Gift wrapping option is shown at checkout for selected products. If available, you can select it for a nominal extra charge."
"Promo code is not applying, what to do?","Check the promo code terms and conditions—minimum order value, expiry date, or specific category restrictions. If the issue persists, contact support with a screenshot."
"Delivery is very late, what to do?","Sometimes delays occur due to weather, festival season, or courier issues. Check the tracking page; if delayed by more than 48 hours, message support."
"Payment failed but amount deducted, what will happen?","In such cases, the amount is usually automatically reversed within 3–5 business days. If not, contact your bank/payment provider with the reference ID."
"Is international delivery available?","Currently, we provide international delivery in selected countries only. If your country is shown at checkout, delivery is possible."
"App is not updating, what to do?","Manually update the app from the Play Store or App Store. If the issue persists, uninstall and reinstall the app."
"Will I get refunds for multiple items separately or together?","If multiple items were in the same order, the refund is generally processed in a single transaction, but separate entries may appear in the bank statement."
"My coupon code was used once, can I use it again?","Most coupon codes are for one-time use. You can only use it again if multi-use is allowed in the terms."
"Facing technical issue on website, what to do?","Clear browser cache and try in incognito mode or use another browser/device. If the issue continues, report to support with a screenshot."
"What is the delivery time?","Our standard delivery timing is from 9 AM to 9 PM. It may vary slightly depending on the location."
"Can I change the address after placing the order?","If the order hasn't been shipped yet, you can change the address. The change option is shown in the My Orders section."
"Can I cancel if the order is shipped?","Cancellation is not possible if the order has been shipped, but you can refuse delivery and process a return."
"What if I receive a damaged product?","If you received a damaged product, raise a return request within 48 hours by sharing pictures of the product."
"I received the wrong item, what should I do?","In case of a wrong item, you can choose either a replacement or a refund."
"How is return pickup done?","Return pickup is done through our courier partner and is usually scheduled within 2–3 working days."
"Why can a return be rejected?","A return is rejected if the product is in used condition or original packaging is missing."
"What is the replacement process?","After the replacement request is approved, the courier partner picks up the old item and the new item is dispatched."
"How long does replacement take?","Replacement is generally completed within 5–7 days."
"In which mode will I get the refund?","The refund will be given in the same mode as the payment method used for placing the order."
"Why is a refund rejected?","A refund is rejected if the product does not follow return rules—for example: missing accessories, tampering, damage, etc."
"When does wallet refund come?","Wallet refunds usually come instantly within 1–2 hours."
"How many days does bank refund take?","Bank refunds take 3–7 business days."
"How do I raise a return request?","Go to My Orders > Select Order > Choose Return Option and select the reason."
"What is the return eligibility criteria?","The product must be unused, with original tags, and within the 7–14 days return window."
"Can a product bought on offer be returned?","Yes, offer products can be returned unless 'no-return' is mentioned on the product page."
"Can digital products be returned?","Digital products like codes/software are generally non-returnable."
"When do I get cashback?","Cashback is credited to the wallet 24–72 hours after the order is delivered."
"How to apply a coupon code?","Enter the code in the 'Apply Coupon' box on the checkout page."
"Why is the coupon showing invalid?","The coupon might be expired, minimum order value not met, or not applicable to the product category."
"I didn't receive order confirmation email, what to do?","Check your spam folder; if not found there, verify your email address."
"Delivery partner is not contacting, what to do?","The courier's contact number is given on the tracking page; you can call them directly."
"What happens if the order is misplaced?","In case of a misplaced order, a full refund or replacement is provided."
"How do I place a bulk order?","For bulk orders, contact support; we provide special pricing."
"What are international delivery charges?","International delivery charges vary according to the destination country."
"How do I get a GST invoice?","You can download the GST invoice from the My Orders section."
"How do I add delivery instructions?","The 'Add Delivery Instructions' option is available on the checkout page."
"What is the charge for gift packing?","Gift packing charges are in the range of ₹20–₹50, depending on the product."
"How to apply for EMI?","Select EMI from the bank list at checkout and choose the tenure."
"Is no cost EMI available?","No-cost EMI is available on selected products, mentioned on the product page."
"I didn't get a tracking ID, what to do?","Tracking ID is generated 24 hours after shipment. If not received, contact support."
"Can a prepaid order be converted to cash on delivery?","No, a prepaid order cannot be converted to COD."
"Can the return pickup address be different?","Yes, the pickup address can be different if it is in a serviceable area."
"Why is the order on-hold?","An order goes on-hold when address or payment verification is pending."
"Facing payment error on website, what to do?","Clear browser cache or try from another browser/device."
"App is crashing, what to do?","Uninstall the app and install it fresh."
"Why is the order delayed?","Orders may be delayed due to weather issues, festival rush, or courier delays."
"How do I claim product warranty?","Warranty claims are processed directly by the manufacturer; an invoice is required."
"Is extended warranty available?","Extended warranty add-ons are available for selected electronics."
"How is a defective product identified?","It is recommended to make an unboxing video when receiving the product."
"Are COD charges extra?","Some locations have a nominal COD fee which shows at checkout."
"Delivery partner was rude, how to complain?","Use the 'Report Issue' option in My Orders."
"Multiple items in one order, how to return?","You can return individual items separately."
"Is store pickup option available?","Yes, store pickup is supported at selected stores."
"I want to send an order as a gift, can the invoice be hidden?","Yes, there is an option to hide price/invoice in gift orders."
"How do I earn reward points?","Reward points are earned through shopping, reviews, and referrals."
"How are reward points redeemed?","Reward points can be redeemed on the checkout page."
"Payment showing pending, what is the problem?","Sometimes bank confirmation is delayed. Wait for 30 minutes."
"What does dispatched mean?","Dispatched means the product has been handed over to the courier partner."
"What does out for delivery mean?","The rider has left for your location."
"Shows delivered but product not received, what to do?","A courier investigation is raised which takes 48 hours."
"Missed return pickup, what to do?","Pickup is rescheduled in the next available slot."
"Can I change KYC details?","Yes, there is an option to update KYC in account settings."
"Can I withdraw wallet balance?","Wallet balance cannot be withdrawn to a bank; it is used only for shopping."
"How do I post an order review?","There is a 'Write a Review' button on the product page."
"How to enable app notifications?","Turn on notifications in Phone settings > App settings."
"Order tracking page not opening, what to do?","Check internet connection or reload the browser."
"What does order stuck in transit mean?","This is a delay on the courier side; product movement is taking time."
"Why did the pickup agent reject the item?","Pickup is rejected if the item is not in proper packaging or is tampered with."
"When is delivery free?","Free delivery is available upon completing the minimum order value."
"Received a different color product, what to do?","In case of a wrong color issue, you can choose replacement or refund."
"How are gift card codes redeemed?","Redeem option is in the wallet section."
"What is the customer support email?","Support email is given on our Contact Us page."
"Missed delivery attempt, what to do?","The rider will attempt again on the next working day."
"Getting order verify call, is it genuine?","Verification calls are genuine but never share OTP."
"How do I deactivate my account?","Contact the support team to raise a deactivation request."
"Why are some products non-returnable?","Some items are non-returnable due to hygiene and safety reasons."
"Why is shipping weight extra?","Additional weight charges apply for oversized or heavy items."
"How does buy one get one offer work?","BOGO items apply automatically as soon as both products are added to the cart."
"Do I get a call to confirm COD order?","Yes, sometimes COD verification calls come for fraud prevention."
"What is the order packing time?","Packing is usually completed within 12–24 hours."
"How many characters can a gift message be?","Gift message is allowed up to a maximum of 200 characters."
"Order shows delivered but agent didn't call","In such cases, delivery proof is checked for verification."
"How is product quality assured?","Products are from verified sellers and go through quality checks."
"Review looks fake, what to do?","Fake reviews can be reported using the report review button."
"Is there a restocking fee?","Restocking fee is applicable in some categories depending on product condition."
